gen,candidate,kind,fitness,homeGoals,awayGoals,goalDiff,shotDiff,boxDiff,attThirdDiff,possDiff,reversals,transPerSec,stationary,ShootRangeNear,ShootRangeFar,ShootScoreNear,ShootScoreFar,ShootPressurePenalty,RoleAttackForward,RoleAttackMidfielder,RoleAttackDefender,PassBaseScore,PassScoreScale,PassPressureBonus,PassFarBonus,CrossBonus,DribbleBaseScore,DribbleLaneBonus,DribbleFreeSpaceBonus,ClearScore,ChaseBaseScore,HoldBaseScore,CommitmentBonus,AttackDepthDefender,AttackDepthMidfielder,AttackDepthForward,HomePositionLerp,DeepRunDepth
27,child1,child,0.8413,1.000,0.000,1.000,0.000,1.000,65.917,1.379,78.000,1.213,34.650,1600,961.8,128.4,56,9.329,1.8,0.8227,0.7498,37.51,0.01337,27.89,9.777,10.18,28.02,27.36,10.64,33.36,64.43,44.17,27.89,0.35,0.9,0.7074,0.2208,0.9059
27,child2,child,3.1192,0.000,0.000,0.000,0.000,1.000,176.433,2.840,53.000,0.380,14.617,1112,927.5,83.17,50.03,7.938,1.8,0.6443,0.6804,34.15,0.01471,27.09,9.28,11.93,33.01,24.87,9.426,39.29,67.22,41.39,26.85,0.35,0.7865,0.7,0.2332,0.9377
27,child3,child,5.8269,1.000,0.000,1.000,0.000,3.000,247.517,1.242,73.000,1.127,25.017,1600,900,110.8,61.89,8.374,1.714,0.6807,0.9558,37.36,0.01324,29.66,8.18,11.48,22.17,26.83,9.659,47.99,61.23,39.96,24.64,0.4108,0.9,0.7003,0.2785,0.8778
27,child4,child,8.7287,2.000,0.000,2.000,0.000,3.000,152.300,2.791,73.000,1.113,14.717,1386,1274,86.45,53.81,9.202,1.8,0.8492,0.8559,38.71,0.0155,35.19,9.594,13.69,34.06,23.53,9.861,46.05,66.99,40.16,24.95,0.4366,0.9,0.7,0.2353,0.8
27,child5,child,8.6336,2.000,0.000,2.000,0.000,3.000,152.267,2.778,82.000,1.193,14.617,1600,1059,90.94,60.46,6.412,1.8,0.9232,0.7923,40.03,0.01583,34.82,8.423,12.06,25.21,24.3,9.282,38.22,74.31,48.3,26.97,0.382,0.8931,0.7,0.2453,0.8979
27,child6,child,2.5970,0.000,0.000,0.000,0.000,1.000,176.433,2.847,54.000,0.367,19.783,1341,1056,87.4,61.9,8.9,1.669,0.7038,0.7973,36.16,0.01417,37.01,9.138,13.1,35.55,28.98,11.14,46.9,71.51,30.44,27.74,0.4469,0.9,0.7921,0.2457,1
27,child7,child,6.8783,2.000,0.000,2.000,0.000,2.000,121.450,2.315,95.000,1.800,19.783,1364,1053,93.87,63.13,9.125,1.562,0.6927,0.7412,41.34,0.01756,36.81,10.54,8.418,27.92,25.46,12.81,45.96,72.77,36.39,27.38,0.3624,0.9,0.7,0.2832,0.8589
28,parent,parent,3.8299,1.000,0.000,1.000,0.000,2.000,99.500,0.986,52.000,0.900,14.433,1386,1274,86.45,53.81,9.202,1.8,0.8492,0.8559,38.71,0.0155,35.19,9.594,13.69,34.06,23.53,9.861,46.05,66.99,40.16,24.95,0.4366,0.9,0.7,0.2353,0.8
28,child0,child,-44.9931,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.000,450.000,1600,1286,83.04,56.52,7.861,1.66,0.8428,1.062,38.23,0.01387,47.04,10.14,13.39,34.16,25.84,9.053,46.93,67.23,50.53,19.12,0.3852,0.9,0.7327,0.3437,0.8
28,child1,child,1.4328,0.000,0.000,0.000,0.000,2.000,111.417,1.005,49.000,0.547,11.533,1283,1466,76.97,67.28,8.02,1.553,0.7821,0.8693,39.71,0.01685,34.58,9.225,13.7,33.45,22.76,10.23,50.32,62.35,36.69,27.43,0.4314,0.7393,0.7,0.2363,0.8
28,child2,child,-44.9931,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.000,450.000,1333,1532,89.35,56.34,8.796,1.702,0.7856,0.8778,42.33,0.01543,34.64,9.763,12.81,31.26,19.28,9.752,51.81,60,42.39,21.58,0.4095,0.7809,0.9081,0.2343,0.8587
28,child3,child,-44.9931,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.000,450.000,1497,1441,93.7,63.47,8.492,1.8,0.9671,0.8769,45.22,0.01532,45.39,9.677,15.33,44.04,25.8,8.217,55.75,60,47.62,30,0.5113,0.8899,0.7071,0.2408,0.8512
28,child4,child,-44.9931,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.000,450.000,1310,1363,76.51,49.68,9.304,1.464,0.6876,0.8183,42.67,0.01307,44.28,9.573,12.54,34.55,27.59,8.649,41.83,60,43.18,27.61,0.5098,0.8871,0.7298,0.2049,0.8654
28,child5,child,1.4328,0.000,0.000,0.000,0.000,2.000,111.417,1.005,49.000,0.547,11.533,1296,1306,73.48,57.85,10.24,1.8,0.8013,0.8488,35.23,0.01563,31.94,9.615,14.39,35.13,26.28,7.879,47.1,72.03,40.82,30,0.4829,0.8236,0.7,0.2237,1
28,child6,child,0.9612,0.000,0.000,0.000,0.000,1.000,109.833,0.956,48.000,0.533,13.800,1334,1119,89.02,55.12,8.388,1.8,0.7262,0.8628,35.85,0.0136,35.83,8.806,16.32,32.1,27.19,8.096,41.32,63.07,39.09,24.4,0.3658,0.9,0.7,0.277,0.8758
28,child7,child,1.4826,0.000,0.000,0.000,0.000,1.000,117.867,1.044,41.000,0.467,11.400,1082,1469,95.43,63.07,10.61,1.8,0.7553,1.151,37.7,0.01413,36.12,7.812,12.55,38.07,26.25,9.054,39.39,75.46,42.33,24.46,0.4029,0.9,0.9109,0.1997,0.8594
29,parent,parent,13.0167,2.000,0.000,2.000,0.000,5.000,362.250,1.948,64.000,1.073,14.550,1386,1274,86.45,53.81,9.202,1.8,0.8492,0.8559,38.71,0.0155,35.19,9.594,13.69,34.06,23.53,9.861,46.05,66.99,40.16,24.95,0.4366,0.9,0.7,0.2353,0.8
29,child0,child,-44.9916,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.000,0.000,450.000,1369,1316,101.1,49.56,6.971,1.768,0.6,0.7865,41.76,0.01699,34.31,11.93,11.21,34.57,23.19,9.199,43.16,60,40.76,27.86,0.35,0.8677,0.7131,0.2193,0.8225
29,child1,child,-3.3149,1.000,0.000,1.000,0.000,3.000,254.167,1.968,61.000,0.987,122.733,1283,1402,98.67,53.22,9.919,1.671,0.7266,0.8266,43.97,0.01503,39.33,8.799,16.78,37.82,25.13,9.414,38.61,60,38.98,28.46,0.468,0.9,0.7254,0.1969,0.8
29,child2,child,10.1668,1.000,0.000,1.000,0.000,4.000,373.967,1.968,57.000,0.713,14.550,1216,1371,92.35,57.26,10.5,1.8,0.7806,0.7565,46.43,0.01697,42.34,10.41,9.883,38.96,26.66,11.75,54.17,78.75,42.07,26.6,0.3961,0.8895,0.7,0.2243,0.8171
29,child3,child,4.8281,0.000,0.000,0.000,0.000,2.000,284.517,1.686,80.000,0.800,12.250,1383,1344,67.55,56.96,10.73,1.699,0.7449,0.7722,38.55,0.01582,37.77,8.132,11.27,38.35,20.21,9.524,50.36,83.47,37.28,27.31,0.4701,0.8242,0.922,0.1987,0.8
29,child4,child,22.0969,5.000,0.000,5.000,0.000,7.000,341.417,2.717,82.000,2.267,14.433,1544,1512,85.04,55.92,7.827,1.8,0.8189,0.8451,39.97,0.014,38.72,10.08,13.33,32.46,18.76,11.43,42.61,67.98,44.89,24.89,0.4755,0.6876,0.7436,0.1918,0.8
29,child5,child,-44.9916,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.000,0.000,450.000,1352,1372,94.2,49.56,9.02,1.54,0.7613,0.8423,47.44,0.01174,34.8,8.65,13.82,31.23,20.44,10.09,50.09,60,42.03,29.48,0.4996,0.7858,0.7,0.2072,0.827
29,child6,child,16.0716,3.000,0.000,3.000,0.000,5.000,364.367,2.492,85.000,1.567,14.550,1316,1169,85.65,50.85,10.65,1.8,0.9051,0.9867,37.27,0.01196,36.48,8.535,14.51,27.26,22.51,11.44,38.1,73.57,37.65,28.37,0.4812,0.9,0.7759,0.2476,0.8
29,child7,child,0.9719,0.000,0.000,0.000,0.000,0.000,108.867,1.689,79.000,1.000,11.600,1502,1248,85.41,49.28,8.542,1.8,0.8192,0.7786,34.99,0.01606,36.89,9.383,12.45,39.26,28.97,8.381,50.53,64.14,37.76,22.59,0.4059,0.8934,0.7,0.2712,0.8
