gen,candidate,kind,fitness,homeGoals,awayGoals,goalDiff,shotDiff,boxDiff,attThirdDiff,possDiff,reversals,transPerSec,stationary,ShootRangeNear,ShootRangeFar,ShootScoreNear,ShootScoreFar,ShootPressurePenalty,RoleAttackForward,RoleAttackMidfielder,RoleAttackDefender,PassBaseScore,PassScoreScale,PassPressureBonus,PassFarBonus,CrossBonus,DribbleBaseScore,DribbleLaneBonus,DribbleFreeSpaceBonus,ClearScore,ChaseBaseScore,HoldBaseScore,CommitmentBonus,AttackDepthDefender,AttackDepthMidfielder,AttackDepthForward,HomePositionLerp,DeepRunDepth,DefendDepthDefender,DefendDepthMidfielder,DefendDepthForward,DefendBallPull,GKChaseGoalDistance,GKChaseBallDistance,GKLineOffset,GKTrackLerp
11,child5,child,1.9549,2.000,1.000,1.000,3.000,0.000,46.100,-0.350,180.000,2.440,12.483,1463,2226,147.6,89.36,8.538,1.602,0.6,1.261,39.96,0.02068,21.08,6.99,38.3,33.24,17.85,11.26,64.82,101.3,53.72,16.75,0.35,0.6908,1,0.6662,0.9731,0.2252,0.3926,0.85,0.1367,482.6,733.3,108,0.3552
11,child6,child,15.1920,4.000,0.000,4.000,7.000,8.000,58.317,0.264,161.000,3.013,12.950,1295,2442,139.9,95,9.571,1.716,0.6,1.293,43.02,0.02455,15.29,9.629,32.38,25.23,23.3,11.65,73.9,110,54.05,23.1,0.35,0.7175,1,0.7335,0.8696,0.2448,0.3386,0.776,0.1356,569,743.4,116.2,0.3359
11,child7,child,19.8713,6.000,0.000,6.000,13.000,5.000,1.633,0.929,430.000,4.840,13.417,1600,1939,127,89.77,10.36,1.289,0.6,1.2,46.18,0.01858,19.2,10.28,35.82,30.79,25.88,13.35,86.98,99.83,59.81,17.47,0.4084,0.7289,0.9087,0.738,0.8909,0.2317,0.286,0.8468,0.1168,486.6,656.9,103.5,0.3734
12,parent,parent,-8.6244,2.000,1.000,1.000,-3.000,-5.000,-153.583,-0.086,140.000,2.467,43.633,1600,1939,127,89.77,10.36,1.289,0.6,1.2,46.18,0.01858,19.2,10.28,35.82,30.79,25.88,13.35,86.98,99.83,59.81,17.47,0.4084,0.7289,0.9087,0.738,0.8909,0.2317,0.286,0.8468,0.1168,486.6,656.9,103.5,0.3734
12,child0,child,-11.1288,3.000,1.000,2.000,-13.000,-13.000,-141.967,-0.166,335.000,4.633,12.933,1600,2046,107.6,66.05,13.63,1.425,0.6121,1.109,45.09,0.02301,18.07,9.881,35.31,31.07,23.06,10.69,78.38,110,79.75,15.44,0.48,0.6243,0.8204,0.7471,0.8,0.2127,0.3294,0.85,0.1174,559,749.5,120,0.422
12,child1,child,3.5766,3.000,0.000,3.000,6.000,1.000,40.100,1.275,200.000,2.147,78.483,1600,1950,121.3,95.32,9.484,1.407,0.6287,1.194,46.13,0.01528,20.43,9.304,38.12,32.76,30,10.88,98.91,103.1,54.68,18.39,0.35,0.6925,1,0.6869,0.8813,0.2166,0.2605,0.8412,0.1243,376.5,732.4,84.15,0.3585
12,child2,child,2.9794,3.000,1.000,2.000,7.000,-1.000,-93.267,0.467,309.000,2.987,13.000,1545,1921,140,96.31,12.17,1.282,0.6,1.289,42.5,0.02148,16.54,12.49,34.86,31.59,24.72,14.48,71.77,88.89,59.01,15.85,0.4199,0.6668,0.8527,0.5669,0.9096,0.3115,0.2891,0.8468,0.1569,516.7,704.5,91.33,0.396
12,child3,child,25.8439,7.000,0.000,7.000,18.000,5.000,0.617,0.923,362.000,4.900,15.200,1600,2153,114.8,86.67,9.207,1.282,0.6,1.115,37.32,0.01734,18.51,12.4,32.91,25.64,27.31,12.45,72.69,98.26,66.1,20.51,0.4604,0.7866,0.983,0.7695,0.9934,0.1807,0.3114,0.85,0.1205,565.9,780.3,101.5,0.3803
12,child4,child,-7.2866,1.000,0.000,1.000,-5.000,-4.000,-116.483,0.511,360.000,3.207,9.917,1600,2140,135.6,81.64,11.09,1.162,0.6747,1.272,60,0.01913,18.18,7.718,36.39,32.86,24.54,14.49,89.8,106.2,58.29,18.46,0.3893,0.7176,0.8211,0.6855,0.9857,0.1876,0.3024,0.85,0.117,568.7,510.5,99.61,0.3064
12,child5,child,-1.3179,3.000,0.000,3.000,-1.000,-3.000,-181.317,0.388,60.000,1.740,50.117,1579,1889,124.3,91.35,10.96,1.577,0.6965,1.14,40.66,0.0205,20.42,9.637,40,32.12,26.25,13.56,100,95.7,58.64,17.73,0.3715,0.728,0.8708,0.7279,0.8907,0.239,0.3135,0.85,0.1161,516.8,634.8,110.6,0.3675
12,child6,child,-2.2802,1.000,0.000,1.000,0.000,-1.000,-47.017,-0.069,242.000,2.553,14.300,1600,1769,127.5,90.64,8.928,0.9443,0.6417,1.102,57.76,0.01674,23.2,9.566,36.02,26.75,28.39,14.06,100,105,59.21,18.47,0.3984,0.6677,0.8604,0.5817,0.9091,0.2212,0.2841,0.7067,0.1229,567.8,582.8,120,0.356
12,child7,child,7.5380,7.000,2.000,5.000,0.000,1.000,-3.517,0.715,539.000,5.893,19.700,1320,2352,132.7,78.77,9.173,1.457,0.6,1.297,45,0.01945,19.66,12.55,32.46,32.26,25.17,11.89,93.62,93.15,59.94,17.36,0.3658,0.6659,0.9272,0.7543,0.9159,0.2579,0.2614,0.7905,0.08503,540.2,612.4,108.4,0.3844
13,parent,parent,20.9551,5.000,0.000,5.000,22.000,8.000,58.583,1.140,514.000,4.547,27.917,1600,2153,114.8,86.67,9.207,1.282,0.6,1.115,37.32,0.01734,18.51,12.4,32.91,25.64,27.31,12.45,72.69,98.26,66.1,20.51,0.4604,0.7866,0.983,0.7695,0.9934,0.1807,0.3114,0.85,0.1205,565.9,780.3,101.5,0.3803
13,child0,child,2.0529,1.000,0.000,1.000,0.000,3.000,34.333,0.630,140.000,1.920,9.567,1600,2283,96.09,75.14,8.116,1.153,0.6002,1.104,35.93,0.0178,24.49,13.18,28.31,27.51,30,10.91,60.62,103.9,62.48,20.62,0.4645,0.7067,1,0.8,0.8655,0.1611,0.277,0.7902,0.1211,608.2,664.9,120,0.4228
13,child1,child,-44.9908,0.000,0.000,0.000,0.000,0.000,0.000,0.018,0.000,0.000,450.000,1600,2256,120.7,82.88,11.26,1.223,0.6024,0.9449,32.12,0.01707,17.26,11.07,40,22.77,22.02,13.59,88.32,88.04,80,18.58,0.5214,0.8348,0.9951,0.8,0.9828,0.1863,0.2897,0.7055,0.1216,521,738.3,98.4,0.4343
13,child2,child,1.8833,2.000,0.000,2.000,7.000,-5.000,-121.983,0.638,306.000,2.693,11.667,1486,2400,109.9,84.54,11.32,1.123,0.6,1.275,41.1,0.01579,18.22,12.27,36.93,28.24,25.35,14.49,80.24,110,60.05,20.04,0.449,0.7735,1,0.7764,1,0.2009,0.3168,0.85,0.1166,577.6,744.5,95.38,0.3556
13,child3,child,-2.4390,1.000,0.000,1.000,3.000,2.000,26.950,0.861,170.000,2.753,63.333,1600,2262,131.8,82.96,11.73,1.18,0.6,1.214,44.14,0.01895,17.17,12.6,38.56,27.98,24.38,11.56,70.65,110,49.02,18.26,0.4417,0.7573,1,0.6935,1,0.1704,0.3452,0.812,0.1148,557.3,674.6,97.39,0.343
13,child4,child,-1.7609,1.000,0.000,1.000,0.000,-4.000,-45.967,0.482,208.000,2.360,9.667,1483,2011,120.4,68.16,9.973,1.395,0.6607,1.218,37.92,0.01879,23.88,12.29,26.75,23.22,24.3,10.8,67.18,102.1,52.35,19.41,0.4787,0.7171,1,0.6499,0.8326,0.1386,0.2737,0.7448,0.1241,525.7,786,117.7,0.414
13,child5,child,12.1086,6.000,1.000,5.000,4.000,2.000,-56.750,0.693,274.000,4.180,13.450,1588,2246,109.9,81.76,10.15,1.26,0.6,1.14,39.18,0.01866,16.97,10.68,29.42,27.54,30,11.62,62.99,110,80,18.15,0.386,0.523,0.9344,0.7443,1,0.1839,0.3175,0.6343,0.1108,599,783.4,119,0.4503
13,child6,child,1.4779,4.000,0.000,4.000,-2.000,-1.000,-141.850,0.269,197.000,3.013,43.483,1445,2151,102.4,74.42,9.387,1.261,0.6026,1.182,36.98,0.018,22.21,11.08,40,22.77,25.23,12.18,57.45,98.9,55.22,19.55,0.4298,0.6992,0.7677,0.8,0.8457,0.1953,0.3213,0.85,0.1254,540.5,660,99.42,0.3228
13,child7,child,-44.9936,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,450.000,1600,2213,110.9,73.19,10.02,1.14,0.7151,1.179,40.71,0.01995,21.82,12.05,35.15,24.55,27.27,11.43,80.25,80.74,67.72,17.32,0.4447,0.8159,0.8992,0.7331,1,0.1611,0.3403,0.763,0.1199,527,760.3,85.86,0.3556
14,parent,parent,2.3972,3.000,0.000,3.000,1.000,-6.000,-98.100,0.796,300.000,3.187,10.200,1600,2153,114.8,86.67,9.207,1.282,0.6,1.115,37.32,0.01734,18.51,12.4,32.91,25.64,27.31,12.45,72.69,98.26,66.1,20.51,0.4604,0.7866,0.983,0.7695,0.9934,0.1807,0.3114,0.85,0.1205,565.9,780.3,101.5,0.3803
