gen,candidate,kind,fitness,homeGoals,awayGoals,goalDiff,shotDiff,boxDiff,attThirdDiff,possDiff,reversals,transPerSec,stationary,ShootRangeNear,ShootRangeFar,ShootScoreNear,ShootScoreFar,ShootPressurePenalty,RoleAttackForward,RoleAttackMidfielder,RoleAttackDefender,PassBaseScore,PassScoreScale,PassPressureBonus,PassFarBonus,CrossBonus,PassBoomerangSeconds,PassFailMemorySeconds,PassFailPenaltyFactor,DribbleBaseScore,DribbleLaneBonus,DribbleFreeSpaceBonus,DribbleEnterMargin,DribbleCommitSeconds,DribbleEnterMaxBallSpeed,ScrambleRadius,ScramblePlayers,ScrambleMinBallSpeed,ScramblePersistSeconds,ContestCommitSeconds,ClearScore,ChaseBaseScore,ChaseDesignationBonus,ChaseNonDesignatedPenalty,ChaseReassignMargin,ScrambleReassignMargin,HoldBaseScore,ActionCommitMargin,PostPassCommitSeconds,CoverOffsetDistance,CoverScore,CoverReassignMargin,PassOfferRunDepth,PassOfferRunWidth,PassOfferReassignMargin,AttackBallPull,AttackMinSpacing,AttackDepthDefender,AttackDepthMidfielder,AttackDepthForward,HomePositionLerp,DeepRunDepth,DefendDepthDefender,DefendDepthMidfielder,DefendDepthForward,DefendBallPull,GKChaseGoalDistance,GKChaseBallDistance,GKLineOffset,GKTrackLerp,GKShotDetectSpeed,GKDiveBurst,GKAdvanceMax,GKCloseDownLerp
26,child0,child,119.2949,36.000,3.000,33.000,119.000,37.000,363.150,2.762,4802.000,26.540,45.750,1396,2025,195.9,99,5.192,1.512,0.4393,1.5,11.76,0.01549,11.37,10.21,22.14,1.05,18.41,0.2031,31.99,23.56,8.114,2.126,0.4211,1313,244.4,3,225.2,1.207,2.41,24.94,66.49,10.8,3.286,120.7,462.2,37.4,5.046,1.309,210.2,92.07,126.8,781.4,469.8,120,0.1102,343.8,0.6078,0.5669,0.7851,0.5684,1,0.473,0.1078,0.872,0.1243,577.4,1052,38.55,0.6601,608.9,1.528,315.8,0.7111
26,child1,child,79.4600,21.000,1.000,20.000,112.000,20.000,68.183,-1.254,3423.000,20.000,50.467,1268,2717,220,120,4.878,1.701,0.4928,1.362,10,0.0146,13.42,10.89,17.62,1.112,16.21,0.2169,29.83,24.91,9.393,2.03,0.3693,1188,204.1,3.511,226.3,1.937,2.408,29.9,57.12,10.53,4.305,170,345.9,38.38,4.074,1.346,203,100,135.4,766.8,467.8,120,0.168,275.3,0.793,0.569,0.7674,0.6722,0.9235,0.3913,0.1104,0.9461,0.1219,671.3,1190,42.12,0.6895,762.7,1.687,258,0.6591
26,child2,child,121.1079,34.000,2.000,32.000,144.000,23.000,182.383,-0.716,4636.000,25.967,58.250,1394,2656,199.2,115.7,4.716,1.754,0.4602,1.5,10,0.01875,17.6,10.61,28.58,1.185,19.74,0.2099,36.51,22.97,10.15,2.065,0.3356,1570,251.5,3.185,218.3,1.703,2.394,23.86,67.96,11.45,4.699,143.3,329.4,46.82,5.465,1.821,175.9,100,111.9,740,322.5,110.4,0.1265,262.9,0.6203,0.5142,0.6032,0.5158,1,0.4224,0.1208,0.8694,0.1059,650.8,1043,34.59,0.6542,703.5,1.5,297.5,0.6187
26,child3,child,116.2387,31.000,2.000,29.000,133.000,44.000,274.450,0.336,4490.000,26.367,41.817,1370,2441,220,120,5.241,1.742,0.5087,1.5,10,0.01432,12.79,12.7,27.09,1.06,17.29,0.2159,34.46,20.67,8.295,2.391,0.2974,1611,249.5,3,241.3,1.605,2.299,31.05,70.68,11.86,5.43,119.2,354.7,44.33,4.38,1.652,216.7,100,146,713.5,352.7,111.1,0.1695,348.1,0.6234,0.5141,0.8653,0.5614,0.9099,0.5492,0.153,0.8398,0.1641,715,1200,32.89,0.7543,637.2,1.5,278.3,0.6733
26,child4,child,81.3214,29.000,2.000,27.000,101.000,-1.000,-28.800,1.049,4319.000,25.053,42.317,1640,2198,161.6,120,5.205,2,0.5092,1.372,10,0.01701,13.34,12.01,24.86,1.208,19.56,0.1943,35.92,26.74,10.73,2.022,0.2805,1406,263.2,3.227,232.1,1.475,2.5,23.81,69.4,10.69,4.525,127.7,294.3,40.11,4.658,1.556,195,100,140.3,766.8,364.5,102.4,0.1446,307.1,0.6586,0.5569,0.8442,0.5659,1,0.5707,0.1038,0.8607,0.1356,548.8,1200,43.76,0.6997,694.3,1.5,310.1,0.8
26,child5,child,72.3528,31.000,4.000,27.000,83.000,3.000,-21.667,2.020,4462.000,23.773,43.267,1436,2591,220,107.5,4.515,2,0.5093,1.321,10,0.01423,13.24,12.85,24.01,1.159,16.29,0.2295,34.54,25.86,9.493,2.123,0.2784,1288,227.3,3,253.5,1.641,2.5,23.47,67.01,8.5,4.428,117.8,372.3,48.19,5.182,1.366,219.6,83.21,159.8,724.7,420.8,84.06,0.1665,369.1,0.7283,0.5407,0.8172,0.4758,0.9996,0.4176,0.1162,1,0.1329,449.3,1033,30.9,0.8,722.1,1.507,350.9,0.7967
26,child6,child,122.5162,36.000,1.000,35.000,135.000,22.000,110.550,1.492,4851.000,27.907,60.400,1354,2320,202.1,120,4.884,1.911,0.467,1.5,11.18,0.01528,11.77,13.62,25.26,1.218,19.12,0.1984,31.63,25.78,10.24,2.03,0.2846,1405,268.6,3.043,240,1.526,2.5,29.11,70.36,11.12,3.611,99.95,385.3,37.56,5.386,1.332,203.6,93.49,171.8,769.1,450.1,91.8,0.1988,290,0.7796,0.7201,0.736,0.4764,1,0.556,0.1099,1,0.1353,638.6,1005,38.28,0.7004,800,1.595,316.8,0.6997
26,child7,child,61.4472,29.000,3.000,26.000,80.000,-26.000,-232.800,1.595,4116.000,21.393,41.950,1105,2800,220,101.4,5.608,1.829,0.4882,1.46,10.38,0.01528,9.281,11.2,24.24,1.275,20,0.19,34.05,30.76,8.256,1.831,0.3905,1713,263.1,3.816,263.3,2.038,2.405,22.47,56.36,10.89,4.458,139.6,440.1,43.9,5.663,1.552,168.1,85.83,137.4,891.7,393.1,120,0.1425,267.7,0.6202,0.7474,0.6119,0.5126,1,0.3927,0.1286,1,0.1357,597.7,1021,38.49,0.6706,689.4,1.881,301.1,0.6057
26,child8,child,141.9383,40.000,0.000,40.000,135.000,27.000,271.467,2.453,5032.000,26.640,46.333,1586,2446,171.4,105,4.426,2,0.4336,1.478,10.69,0.01591,11.87,12.53,25.69,1.214,18.1,0.2089,36.13,24.53,9.028,2.537,0.2956,1402,263.7,3.333,209.9,1.491,2.5,26.81,62.69,10.8,4.188,112.9,341.6,36.54,5.197,1.422,218.7,94.95,152.9,922.2,448.3,109.6,0.1535,287.4,0.5855,0.6122,0.6834,0.6371,0.9078,0.4544,0.1584,0.989,0.1152,614.8,1200,33.02,0.6079,710.1,1.5,283.9,0.5551
26,child9,child,138.4597,43.000,0.000,43.000,122.000,9.000,99.300,2.901,4981.000,24.887,44.783,1440,2117,220,113.4,5.332,2,0.6318,1.475,10,0.01316,12.89,11.61,20.92,1.276,17.32,0.2451,33.72,28.01,8.372,2.287,0.359,1279,234.7,3.649,189.9,1.54,2.5,24.21,51.92,10.48,3.77,124.5,425.2,42.26,5.765,1.838,203.4,92.68,120.5,699.3,472.5,91.16,0.206,293.7,0.7715,0.6702,0.8459,0.5949,0.9789,0.4617,0.1467,1,0.116,440.4,1170,29.27,0.6721,717.3,1.5,247.7,0.663
